AudioLDM Single GPU 1 epoch

FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
       [pl][profile][Strategy]DDPStrategy.training_step         0.01%     691.000us        21.12%        1.617s     539.049ms       0.000us         0.00%        1.302s     434.091ms             3
                        DistributedDataParallel.forward         0.60%      45.778ms        21.10%        1.616s     538.681ms       0.000us         0.00%        1.302s     434.088ms             3
                        [pl][profile]run_training_batch         0.02%       1.588ms        37.94%        2.905s     968.493ms       0.000us         0.00%     907.567ms     302.522ms             3
[pl][profile][LightningModule]LatentDiffusion.optimi...         0.00%     192.000us        37.92%        2.904s     967.929ms       0.000us         0.00%     907.567ms     302.522ms             3
                              Optimizer.step#AdamW.step        16.80%        1.286s        37.92%        2.904s     967.844ms       0.000us         0.00%     907.567ms     302.522ms             3
autograd::engine::evaluate_function: CheckpointFunct...         0.19%      14.495ms         9.92%     759.660ms      15.826ms       0.000us         0.00%     732.818ms      15.267ms            48
                             CheckpointFunctionBackward         1.62%     124.247ms         9.72%     744.616ms      15.513ms       0.000us         0.00%     732.510ms      15.261ms            48
[pl][module]audioldm_train.modules.diffusionmodules....         0.03%       2.134ms         0.60%      45.913ms      15.304ms       0.000us         0.00%     699.965ms     233.322ms             3
                                          ProfilerStep*        16.66%        1.275s        50.40%        3.859s        1.286s       0.000us         0.00%     552.997ms     184.332ms             3
                                      aten::convolution         0.06%       4.443ms         1.52%     116.295ms     303.642us       0.000us         0.00%     530.141ms       1.384ms           383
                                     aten::_convolution         0.07%       5.425ms         1.46%     111.852ms     292.042us       0.000us         0.00%     530.141ms       1.384ms           383
                                           aten::conv2d         0.02%       1.428ms         1.52%     116.659ms     306.997us       0.000us         0.00%     525.511ms       1.383ms           380
                                aten::cudnn_convolution         0.92%      70.469ms         1.20%      91.564ms     239.070us     466.013ms        18.64%     466.436ms       1.218ms           383
[pl][module]audioldm_train.modules.latent_diffusion....         0.00%     262.000us         7.53%     576.317ms     192.106ms       0.000us         0.00%     382.147ms     127.382ms             3
[pl][module]audioldm_train.modules.diffusionmodules....         0.06%       4.727ms         7.52%     576.023ms     192.008ms       0.000us         0.00%     382.147ms     127.382ms             3
                                              aten::mul         0.81%      61.907ms         1.43%     109.458ms      22.522us     350.177ms        14.01%     350.744ms      72.170us          4860
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     315.871ms        12.64%     315.871ms       3.631ms            87
                                              aten::bmm         0.82%      62.962ms         1.10%      84.115ms      99.427us     289.675ms        11.59%     299.318ms     353.804us           846
